timestamp,open,high,low,close,volume
1762992000000,153.32,153.78,153.15,153.39,82669.53
1762992900000,153.39,153.92,152.8,152.94,161449.95
1762993800000,152.94,154.33,152.28,152.88,459118.63
1762994700000,152.88,153.3,152.5,152.92,109075.99
1762995600000,152.92,154.39,152.69,153.88,309188.49
1762996500000,153.87,154.11,152.17,152.82,349532.76
1762997400000,152.81,153.74,152.6,153.56,215701.49
1762998300000,153.56,153.66,152.26,152.67,178945.44
1762999200000,152.66,153.12,152.56,152.78,115903.28
1763000100000,152.78,153.21,152.35,152.4,125228.35
1763001000000,152.4,153.34,152.3,152.97,171161.55
1763001900000,152.98,153.18,152.52,152.82,89453.08
1763002800000,152.82,152.98,151.55,151.57,253091.91
1763003700000,151.57,153.9,150.29,153.84,961344.7
1763004600000,153.85,155.25,153.77,154.58,458078.33
1763005500000,154.59,155.77,154.25,154.27,493372.98
1763006400000,154.27,154.4,153.31,154.26,321656.98
1763007300000,154.26,154.88,153.68,154.33,317092.2
1763008200000,154.34,154.51,153.71,154.24,141834.19
1763009100000,154.25,154.62,153.56,154.23,192870.48
1763010000000,154.23,154.23,153.71,153.84,100061.56
1763010900000,153.84,154.47,153.8,154.46,115425.03
1763011800000,154.46,155.42,154.27,155.35,210923.95
1763012700000,155.35,156.75,155.26,156.08,459117.48
1763013600000,156.08,156.7,155.64,156.37,303668.58
1763014500000,156.37,157.0,156.3,156.79,223105.19
1763015400000,156.8,157.07,156.42,156.66,176309.5
1763016300000,156.67,157.0,156.54,156.64,114388.92
1763017200000,156.65,156.85,156.29,156.75,145624.54
1763018100000,156.76,157.11,156.42,156.81,144679.67
1763019000000,156.82,157.159,155.64,155.84,330364.09
1763019900000,155.84,155.86,154.74,155.22,444645.07
1763020800000,155.23,155.89,154.85,155.61,254370.62
1763021700000,155.62,156.18,155.6,156.08,145327.88
1763022600000,156.09,156.44,156.04,156.19,114095.53
1763023500000,156.2,156.3,155.69,155.84,142086.54
1763024400000,155.85,155.99,153.79,154.46,521379.64
1763025300000,154.46,155.31,154.2,154.91,214724.65
1763026200000,154.92,155.41,154.79,155.25,146417.38
1763027100000,155.26,155.32,154.45,154.93,170874.97
1763028000000,154.94,155.26,154.8,155.05,172564.16
1763028900000,155.06,156.1,155.02,155.68,227297.49
1763029800000,155.69,155.69,154.79,155.17,156248.45
1763030700000,155.18,155.41,154.95,155.32,77083.25
1763031600000,155.32,156.04,155.3,156.02,128421.61
1763032500000,156.02,156.3,155.58,156.05,185708.41
1763033400000,156.05,156.43,155.68,156.34,138562.27
1763034300000,156.35,156.4,156.01,156.19,71843.57
1763035200000,156.19,156.55,155.69,155.77,210153.44
1763036100000,155.78,156.39,155.7,156.19,105002.54
1763037000000,156.2,156.86,156.19,156.51,140652.63
1763037900000,156.52,156.77,156.08,156.3,79287.53
1763038800000,156.31,156.44,155.86,156.02,106433.04
1763039700000,156.02,156.2,154.67,155.06,302668.68
1763040600000,155.06,155.17,153.69,154.09,582201.42
1763041500000,154.1,154.59,153.53,153.74,276464.17
